"","Location","CountOfincnum","X","Y","Full.Address"
"256"," CARVER ST",NA,"-71.1131028","42.387976","CARVER ST, Somerville, MA"
"257"," CARVER ST",NA,"-71.1131028","42.387976","CARVER ST, Somerville, MA"
"258"," CEDAR AVE",NA,"-71.1127626","42.3907943","CEDAR AVE, Somerville, MA"
"259"," CEDAR ST PL",NA,"-71.1146301","42.3890576","CEDAR ST PL, Somerville, MA"
"260"," CEDAR ST PL",NA,"-71.1146301","42.3890576","CEDAR ST PL, Somerville, MA"
"261"," CEDAR ST",NA,"-71.1116152","42.3932815","CEDAR ST, Somerville, MA"
"262"," CEDAR ST",NA,"-71.1116152","42.3932815","CEDAR ST, Somerville, MA"
"263"," CEDAR ST",NA,"-71.1116152","42.3932815","CEDAR ST, Somerville, MA"
"264"," CENTRAL RD",NA,"-71.102125","42.3890901","CENTRAL RD, Somerville, MA"
"265"," CENTRAL ST",NA,"-71.1028442","42.3892476","CENTRAL ST, Somerville, MA"
"266"," CENTRAL ST",NA,"-71.1028442","42.3892476","CENTRAL ST, Somerville, MA"
"267"," CENTRAL ST",NA,"-71.1028442","42.3892476","CENTRAL ST, Somerville, MA"
"268"," CENTRAL STREET",NA,"-71.1028442","42.3892476","CENTRAL STREET, Somerville, MA"
"269"," CENTRE ST",NA,"-71.1044218","42.3910507","CENTRE ST, Somerville, MA"
"270"," CENTURY ST",NA,"-71.0966521","42.3972897","CENTURY ST, Somerville, MA"
"271"," CENTURY ST",NA,"-71.0966521","42.3972897","CENTURY ST, Somerville, MA"
"272"," CHANDLER ST",NA,"-71.1215495","42.3992075","CHANDLER ST, Somerville, MA"
"273"," CHANDLER ST",NA,"-71.1215495","42.3992075","CHANDLER ST, Somerville, MA"
"274"," CHAPEL ST",NA,"-71.1211812","42.3990409","CHAPEL ST, Somerville, MA"
"275"," CHAPEL ST",NA,"-71.1211812","42.3990409","CHAPEL ST, Somerville, MA"
"276"," CHARLES E RYAN RD",NA,"-71.1064629","42.3967239","CHARLES E RYAN RD, Somerville, MA"
"277"," CHARLES E RYAN RD",NA,"-71.1064629","42.3967239","CHARLES E RYAN RD, Somerville, MA"
"278"," CHARLES E RYAN RD",NA,"-71.1064629","42.3967239","CHARLES E RYAN RD, Somerville, MA"
"279"," CHARLESTOWN ST",NA,"-71.0925773","42.3767956","CHARLESTOWN ST, Somerville, MA"
"280"," CHARNWOOD RD",NA,"-71.1162753","42.3927083","CHARNWOOD RD, Somerville, MA"
"281"," CHARNWOOD RD",NA,"-71.1162753","42.3927083","CHARNWOOD RD, Somerville, MA"
"282"," CHARNWOOD RD",NA,"-71.1162753","42.3927083","CHARNWOOD RD, Somerville, MA"
"283"," CHERRY ST",NA,"-71.1150191","42.3913688","CHERRY ST, Somerville, MA"
"284"," CHERRY ST",NA,"-71.1150191","42.3913688","CHERRY ST, Somerville, MA"
"285"," CHERRY ST",NA,"-71.1150191","42.3913688","CHERRY ST, Somerville, MA"
"286"," CHESTER AVE",NA,"-71.0911248","42.3837081","CHESTER AVE, Somerville, MA"
"287"," CHESTER AVE",NA,"-71.0911248","42.3837081","CHESTER AVE, Somerville, MA"
"288"," CHESTER PL",NA,"-71.1235319","42.3950435","CHESTER PL, Somerville, MA"
