"","Full.Address","to","n","from","minutes","seconds","miles","row.number"
"236","28 PINCKNEY ST, Somerville, Massachusetts","42.3831616, -71.0824957",1,"146 Washington St, Somerville, MA","2.61666666666667","157","0.5816304",236
"237","28 PURITAN RD, Somerville, Massachusetts","42.3963158, -71.086495",1,"146 Washington St, Somerville, MA","7.28333333333333","437","1.466504",237
"238","28 ROSSMORE ST, Somerville, Massachusetts","42.3789695, -71.0913546",1,"146 Washington St, Somerville, MA","1.65","99","0.2137616",238
"239","282 SOMERVILLE AVE, Somerville, Massachusetts","42.3787795, -71.0946128",4,"146 Washington St, Somerville, MA","4.33333333333333","260","0.664898",239
"240","286 BEACON ST, Somerville, Massachusetts","42.3832006, -71.1126846",1,"146 Washington St, Somerville, MA","7.05","423","1.4435122",240
"241","286 BROADWAY, Somerville, Massachusetts","42.3917484, -71.0922988",1,"146 Washington St, Somerville, MA","5.41666666666667","325","1.1377834",241
"242","29 ALLEN ST, Somerville, Massachusetts","42.3775874, -71.0932443",3,"146 Washington St, Somerville, MA","3.83333333333333","230","0.4362228",242
"243","29 CLARK ST, Somerville, Massachusetts","42.378326, -71.097317",1,"146 Washington St, Somerville, MA","4.58333333333333","275","0.6822972",243
"244","29 COLUMBUS AVE, Somerville, Massachusetts","42.380852, -71.093413",1,"146 Washington St, Somerville, MA","2.4","144","0.3610334",244
"245","29 HARDING ST, Somerville, Massachusetts","42.3752069, -71.0902796",3,"146 Washington St, Somerville, MA","3.08333333333333","185","0.5605028",245
"246","290 WASHINGTON ST, Somerville, Massachusetts","42.3792598, -71.0988921",7,"146 Washington St, Somerville, MA","3.56666666666667","214","0.5785234",246
"247","294 MCGRATH HWY, Somerville, Massachusetts","42.378804, -71.0897591",1,"146 Washington St, Somerville, MA","1.25","75","0.177099",247
"248","299 BROADWAY, Somerville, Massachusetts","42.3930142, -71.0925858",2,"146 Washington St, Somerville, MA","5.3","318","1.1328122",248
"249","3 BECKWITH CIR, Somerville, Massachusetts","42.382206, -71.1117778",1,"146 Washington St, Somerville, MA","7.23333333333333","434","1.3770224",249
"250","3 HAWKINS ST, Somerville, Massachusetts","42.3802143, -71.0982372",1,"146 Washington St, Somerville, MA","3.76666666666667","226","0.5797662",250
"251","3 KENT CT, Somerville, Massachusetts","42.3828887, -71.1104658",2,"146 Washington St, Somerville, MA","7.36666666666667","442","1.385722",251
"252","3 LINDEN ST, Somerville, Massachusetts","42.3782735, -71.0927151",1,"146 Washington St, Somerville, MA","3.01666666666667","181","0.3486054",252
"253","3 QUINCY ST, Somerville, Massachusetts","42.3819715, -71.1010606",1,"146 Washington St, Somerville, MA","4.6","276","0.7991204",253
"254","3 SUMMIT AVE, Somerville, Massachusetts","42.3836443, -71.0953601",1,"146 Washington St, Somerville, MA","3.68333333333333","221","0.6251284",254
"255","3 WASHINGTON ST, Somerville, Massachusetts","42.382317, -71.081218",1,"146 Washington St, Somerville, MA","1.33333333333333","80","0.3871322",255
"256","30 CANAL LN, Somerville, Massachusetts","42.3969204, -71.0943487",1,"146 Washington St, Somerville, MA","8.1","486","1.5242942",256
"257","30 CHESTER ST, Somerville, Massachusetts","42.3941219, -71.1234319",1,"146 Washington St, Somerville, MA","11.55","693","2.2979372",257
"258","30 DANE ST, Somerville, Massachusetts","42.3810963, -71.1040996",3,"146 Washington St, Somerville, MA","5.25","315","1.0172318",258
"259","30 INNER BELT RD, Somerville, Massachusetts","42.3794002, -71.0798146",3,"146 Washington St, Somerville, MA","2.15","129","0.5443464",259
"260","30 MEMORIAL RD, Somerville, Massachusetts","42.3959697, -71.0924908",1,"146 Washington St, Somerville, MA","6.83333333333333","410","1.4080924",260
"261","30 PROSPECT ST, Somerville, Massachusetts","42.3783779, -71.0942951",1,"146 Washington St, Somerville, MA","4.66666666666667","280","0.7605936",261
